City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,avarua,-21.2078,-159.775,78.85,89,90,8.05,CK,1623257716
84,santa maria,-29.6842,-53.8069,68.09,74,84,5.57,BR,1623258113
85,zhigansk,66.7697,123.3711,42.15,53,2,7.02,RU,1623257780
86,floro,61.5996,5.0328,71.24,68,40,11.5,NO,1623258115
87,kahului,20.8947,-156.47,77.85,79,21,11.01,US,1623257718
88,celestun,20.8667,-90.4,88.93,57,100,5.19,MX,1623258115
89,cortes,41.9395,-1.4396,91.6,42,13,20.13,ES,1623258115
90,qaanaaq,77.484,-69.3632,41.0,75,17,5.86,GL,1623257720
91,komsomolskiy,40.4272,71.7189,72.82,73,75,6.91,UZ,1623257701
92,ilheus,-14.7889,-39.0494,79.65,71,76,7.72,BR,1623258116
93,rawson,-43.3002,-65.1023,61.32,45,100,23.71,AR,1623257836
94,bani,18.2833,-70.3333,87.75,56,24,14.41,DO,1623258117
95,saint anthony,45.0205,-93.218,91.83,52,75,1.01,US,1623258117
96,provideniya,64.3833,-173.3,37.63,97,100,6.04,RU,1623257727
97,baykit,61.67,96.37,42.12,86,100,9.08,RU,1623258117
98,hobart,-42.8794,147.3294,50.25,82,90,1.99,AU,1623257439
99,talnakh,69.4865,88.3972,28.02,89,51,3.29,RU,1623257751
100,punta arenas,-53.15,-70.9167,42.12,75,48,20.15,CL,1623258118
101,carnarvon,-24.8667,113.6333,60.87,25,90,13.8,AU,1623257704
102,lakatoro,-16.0999,167.4164,74.5,77,70,7.83,VU,1623258118
103,nemuro,43.3236,145.575,47.55,95,6,7.36,JP,1623257756
104,ambilobe,-13.2,49.05,70.29,77,1,3.09,MG,1623258119
105,constitucion,-35.3333,-72.4167,58.01,79,73,6.31,CL,1623258119
106,cabo san lucas,22.8909,-109.9124,94.8,57,5,0.87,MX,1623257534
107,kawalu,-7.3817,108.2082,72.81,95,87,1.12,ID,1623258119
108,inverell,-29.7833,151.1167,42.12,88,94,8.01,AU,1623258119
109,hithadhoo,-0.6,73.0833,83.37,72,6,7.81,MV,1623257691
110,luganville,-15.5333,167.1667,76.26,80,100,8.19,VU,1623258075
111,picayune,30.5255,-89.6795,89.85,84,66,5.99,US,1623258120
112,meulaboh,4.1363,96.1285,77.18,84,100,4.07,ID,1623258121
